sample,thickness_m,height_m,width_m,youngs_modulus_pa,density_kg_m3,tip_force_n,max_stress_pa,tip_deflection_m,mode_1_frequency_hz
1,0.001348452087902888,0.04458420037616893,0.09225131216640708,218511184237.96585,8055.905822652112,713.229253178036,108294000.0,0.008143366,56.005
2,0.001696477720596019,0.048423701685010034,0.07774975090938596,196898472984.34732,7794.6292019757675,794.8878820133816,102292000.0,0.00789147,56.87558
3,0.0017907122697598387,0.03812638058192225,0.08452452686409381,207974093289.47507,7868.445415212984,1117.523419292675,171760000.0,0.01585583,46.84363
4,0.0011863447376560148,0.03608126008163161,0.08065935298079317,202295183182.2309,7974.029301975605,1004.9282546544133,248973000.0,0.02497453,44.07869
5,0.0013884432330058525,0.03786099300651733,0.08404266231970184,199516933736.3949,7863.845710507932,1177.980341256109,230216000.0,0.02231018,46.04687
6,0.0013725104756881846,0.03524116964963237,0.07725393397134894,204464067820.57755,8095.530444188724,1100.572634369099,255268000.0,0.02595197,42.62491
7,0.001145740156989329,0.03572687462265587,0.06406184725207592,203533113020.37222,7611.562848081127,853.8007861647307,269621000.0,0.02724539,43.87272
8,0.0014865994697959954,0.04444475480091025,0.08081341921588839,194633666494.97522,7993.612521620969,858.0540062752837,133973000.0,0.011374,52.04468
9,0.00101663500899205,0.042254968910590066,0.068144007343802,198889484641.11743,7851.213075622498,1102.4021789720896,300353000.0,0.02628742,50.2974
10,0.0018945896692427475,0.04057589375488321,0.06468328673795694,193950188116.2833,7975.860203001872,1046.662563911757,178425000.0,0.01667675,46.22168
11,0.001884663194076419,0.04584304053657885,0.08219478111148151,209826450079.9809,8042.3652816799995,1289.7357047192104,154302000.0,0.01178213,55.06158
12,0.001536881585678509,0.04581305779646975,0.07783753457323457,202499429782.75372,7995.78541532718,1106.3097656275304,166658000.0,0.01320517,54.3073
13,0.0019582931938534635,0.04390757817850885,0.08463533578066487,209020303127.55847,7733.706406242233,1188.8057001823277,141508000.0,0.01131217,53.9044
14,0.0014788859356953175,0.038739779664472174,0.09338685491677381,213701552919.6992,8074.185979615334,879.7996324961108,144090000.0,0.01270998,48.4186
15,0.0014639545758537323,0.03422875827701208,0.06954221125195229,203337668593.88242,7873.838728220966,1252.5987462698758,311583000.0,0.03284355,41.40182
16,0.0016256953757945738,0.048930932466497205,0.09236430749795407,206983328514.17325,8030.698487910852,905.6436608882573,103329000.0,0.00748595,59.16491
17,0.0018492763747788932,0.03721684460290462,0.09223055952783037,201972667163.48154,8029.091419309292,965.5603514394271,137729000.0,0.0133726,44.95145
18,0.001665468260077081,0.04812910965041549,0.08321769992768274,203109817686.75888,7676.550638497856,1040.4733101257857,129528000.0,0.009737118,58.3487
19,0.001585807218075693,0.049607506313724424,0.06092353789681331,217425834564.46432,7647.694043375849,1090.5049365172697,195999000.0,0.01209061,60.08819
20,0.0019836464544341218,0.03787316188577267,0.06977931843761317,193729637593.08344,7909.567906960225,1013.647229391157,169904000.0,0.01700712,43.74022
21,0.0019348318040621746,0.04216460552234403,0.0942332444543088,210830893481.84805,7616.9583858261385,848.2072110169065,97771300.0,0.008043222,53.09488
22,0.0012473402775753345,0.03555879712920082,0.0641517277625822,213268864879.94757,7774.829407031463,730.0898558579479,214402000.0,0.02077267,44.12479
23,0.001964837877720599,0.04923151268703675,0.0893927267606815,203648403729.02792,7966.041440786758,904.6212358756685,88793400.0,0.006502684,58.65858
24,0.0012804345295454995,0.03343702172000279,0.09364106733353295,191085650510.39517,8062.062173545025,855.3139263371487,190176000.0,0.02165979,40.07667
25,0.0014570530211978861,0.04592238887612869,0.0875734744802126,203823552931.827,7862.5610885396945,985.5740655041436,140579000.0,0.01102018,55.8459
26,0.0018443474161516113,0.04053573821221377,0.08206878007288011,214811217469.95227,7907.891424258864,1255.9933118883523,178835000.0,0.01505834,50.10898
27,0.001277437532432322,0.04324426078515109,0.09738184043085706,224316194675.56577,7927.892259054044,996.5007857858349,157497000.0,0.01187027,55.98148
28,0.0015155395720182104,0.032826653147977655,0.09939561180244869,220284035440.12964,7663.170210256868,1261.830098233523,234129000.0,0.02348803,43.2723
29,0.0012713657222143547,0.04089369562177749,0.0889367265729488,200393946000.9538,7898.744034909432,700.0767477159412,128567000.0,0.01148534,49.8972
30,0.001077670784364836,0.03631838321770188,0.09284519223519977,199310533710.51608,8077.108322733745,1164.7016703766517,276687000.0,0.02788085,44.43517
31,0.0014462184150182428,0.04586383592097088,0.08259849133116909,219307884966.37186,7725.227987567889,982.4060064841988,148535000.0,0.01084629,58.03304
32,0.0012612526845422526,0.03696459919994979,0.06762025683109207,217981627763.8854,7858.063186849467,1280.5108353099931,339243000.0,0.03092789,46.23214
33,0.001191754484135177,0.04748607994380351,0.08054773725467004,223307451218.42896,8086.400617208479,916.1505255509951,162137000.0,0.01123982,59.24665
34,0.0013836071306685708,0.0393328283477756,0.0760178076129407,192031972150.17572,7703.4992588137975,756.2273229969385,154343000.0,0.01499711,46.84001
35,0.0011819721274245836,0.041531732382920045,0.09454945422257707,198492563892.8471,7729.878167495372,1218.9924040820551,222919000.0,0.01977011,51.33286
36,0.001956611475128714,0.037343079802068045,0.0901440179478672,207303711283.16724,7651.284592870385,1030.3132191953014,142191000.0,0.0134156,46.5728
37,0.0014817378844968854,0.03843954486306859,0.06672579499591948,208172169526.43225,8064.699051308219,931.0136991455781,205546000.0,0.01887922,45.91477
38,0.0012186742715744729,0.04924559756274631,0.08725708430184945,213525263409.94815,7930.975140508614,788.1337623492078,122157000.0,0.008534013,60.95769
39,0.0011827320497766378,0.03624418769346498,0.06390877283223488,203270661997.64786,7899.0337680878565,1269.2847489361188,383328000.0,0.03823809,43.55952
40,0.0016141339535567997,0.038559043007037934,0.09772260947187558,194915066558.55234,8003.982163216023,774.2690272038811,113321000.0,0.01099242,46.26854
41,0.0015643411427702348,0.0440673145848203,0.08734138874064269,206062846128.65808,7882.3939841793,743.3587132554687,104776000.0,0.008460986,53.83766
42,0.0013587937856853226,0.04314514742350615,0.08917006527652743,199700188253.95386,7845.34806897442,1082.9590112418973,174947000.0,0.01487771,52.43997
43,0.0019050922062358476,0.03245907777573375,0.0697410670109602,216267779000.38297,7803.183431236576,1299.873666304175,274448000.0,0.02865977,40.25603
44,0.0013878668822860896,0.04555060038810477,0.06998830614046458,223822273506.66806,8053.689665326076,729.8273536804346,132889000.0,0.00959169,56.1129
45,0.001890158059055025,0.044954040857981534,0.09669722239341297,217009247062.33655,8096.884509936334,943.5746223803962,100299000.0,0.007523472,55.69606
46,0.0018838892091816715,0.03836571290704631,0.09983572944538983,220688619932.87222,7624.319285473201,808.7276434518016,101970000.0,0.008771493,49.94958
47,0.001551364017806096,0.037633837055467204,0.08992999960462122,217660420786.12244,7661.9565249379875,1297.3822019084841,217923000.0,0.0194375,48.54919
48,0.001287526510257791,0.04603102204727004,0.06707430138786058,190530861630.20078,8020.950745880073,1126.7516630338484,224748000.0,0.01886597,52.2362
49,0.0016909524941025648,0.03970033981149547,0.06593332331569692,190906362669.34744,8000.075158130982,1205.0810642301042,229538000.0,0.02226882,45.19085
50,0.0018343128500968044,0.03394750448681861,0.08304163434555308,194003858188.38086,7709.220522459229,1240.4290200688054,219118000.0,0.02431215,40.79314
51,0.0010784420072908437,0.04099515612049713,0.06027711455712419,207744004399.08667,7743.142427855877,1286.2446407612879,381397000.0,0.03296323,49.60012
52,0.0013132298210077992,0.039284975722235466,0.06101868293459993,223730216211.23322,7893.522122725976,1034.2997327576861,267248000.0,0.0223709,48.82061
53,0.0017755348601189423,0.03771076957483586,0.0756506886040139,215387075310.49112,7983.620535920273,954.7771079854529,165099000.0,0.0149099,46.35244
54,0.0012894062470508575,0.043845841114638254,0.06368669215843695,202076336270.01898,7781.6716387949955,938.157478252204,207300000.0,0.01722404,51.94343
55,0.0014023028790224527,0.03737650685573984,0.06665564865376424,202632709440.6754,7691.3670823707325,807.6542132629811,194167000.0,0.01883775,45.2827
56,0.0010885302136753794,0.04344071343464748,0.08802441614969453,192739749665.2172,8082.867897162699,918.8627443113497,182799000.0,0.0160043,51.32232
57,0.0018478098085035403,0.04763387423738223,0.07559324054249411,195324484212.41095,7749.862592069962,1169.249343704909,145682000.0,0.0115185,55.61009
58,0.0018003982316478298,0.042526627447839215,0.08465739007162965,217594341961.27118,7905.053972937183,1065.695939975393,142150000.0,0.01126476,52.98613
59,0.0016508198482092834,0.03491257822888768,0.07611070674399807,207418009608.7135,7683.435049388528,707.7130833831594,142822000.0,0.01444973,43.27674
60,0.0012690680296940375,0.03392518525608153,0.08281888612879948,212904052869.84415,7788.507846784424,819.2804878701729,200990000.0,0.02033826,43.18549
61,0.0018181375275286198,0.03901568959081396,0.087910631714728,210153860369.16626,7782.342136714959,1190.2976700390516,169512000.0,0.01512452,48.54178
